satker,nama,alamat,prov,ruang,kelas,total_kamar,terisi_lk,terisi_pr,total_terisi,kosong_lk,kosong_pr,total_kosong,waiting_list,last_update,lat,lng
1371444,RS Umum Daerah dr. Rasidin Padang," Jl. Air Paku Sei.Sapih Kec.Kuranji,Padang",SUMATERA BARAT,Umum,Isolasi,0,0,0,0,-,-,0,N/A,25/Feb/2019 07:14:27,0.904914,100.380157
1671013,RS Umum Pusat Dr. Mohammad Hoesin Palembang,"JL Jendral Sudirman KM 3,5 Palembang",SUMATERA SELATAN,Isolasi Air Borne,Rawat Khusus,0,0,0,0,-,-,0,N/A,23/Aug/2018 09:19:05,-2.972911,104.75193
1702015,RS Umum Daerah Curup,Jl. Basuki rahmat No. 10 Dwi Tunggal Curup,BENGKULU,Isolasi Anak,Rawat Khusus,0,0,0,0,-,-,0,N/A,01/Apr/2020 04:03:32,-3.4574529999999997,102.55326099999999
1971043,RS Bakti Timah Pangkalpinang,"Jl. Bukit Baru No.1, Kel.Taman Bunga Kec.Gerunggang Pangkal Pinang",KEPULAUAN BANGKA BELITUNG,ICU,Isolasi,1,0,1,1,-,-,0,N/A,01/Apr/2020 04:17:45,-2.230789,106.13456699999999
3175016,RS Umum Daerah Koja," Jl. Deli No.4 Tanjung Priok,Jakut",DKI JAKARTA,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.108861,106.900002
3172013,RSUP Persahabatan,"    Jl. Persahabatan Raya No. 1,Jaktim",DKI JAKARTA,Isolasi Air Borne,Isolasi,6,10,0,10,-,-,-4,N/A,01/Apr/2020 19:35:22,-6.204058,106.884773
3171012,RSUP Fatmawati," Jl. RS Fatmawati Cilandak,Jaksel",DKI JAKARTA,Isolasi Air Borne,Isolasi,27,11,22,33,-,-,-6,N/A,01/Apr/2020 08:55:39,-6.294844,106.79556299999999
3275013,RS Umum Daerah dr. Chasbullah Abdulmadjid,Jl. Pramuka No. 55 Bekasi,JAWA BARAT,Isolasi TB MDR,Rawat Khusus,1,1,0,1,-,-,0,N/A,29/Jan/2019 05:57:31,-6.268111,107.082497
3275013,RS Umum Daerah dr. Chasbullah Abdulmadjid,Jl. Pramuka No. 55 Bekasi,JAWA BARAT,Isolasi Anak,VIP,6,4,2,6,-,-,0,N/A,26/Dec/2018 10:01:16,-6.268111,107.082497
3273528,RS Ibu dan Anak Melinda,"Jl. Pajajaran No.46 Kel Pasirkaliki, Kec. Cicendo, Kota Bandung",JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.906814,107.60336299999999
3273486,RS Umum Santosa Hospital Bandung Central,"Jl. Kebon Jati No.38,Bandung",JAWA BARAT,Isolasi Air Borne,Rawat Khusus,3,2,1,3,-,-,0,N/A,20/Feb/2019 08:02:01,-6.918497,107.59816000000001
3273453,RS Khusus Ginjal NY R.A. Habibie,Jl. Tubagus Ismail No. 46 Kota Bandung,JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.885364,107.619629
3273121,RS Umum Rajawali,Jl. Rajawali No.38 Kota Bandung,JAWA BARAT,Isolasi Radioaktif,Kelas 1,4,0,4,4,-,-,0,N/A,04/Jul/2017 14:48:09,-6.91255,107.572998
